PRODUCT;SIZE;PRICE;PRICE_CONT;PRICE_PER_200;PRICE_PER_200_CONT
[ Austin red;20;9;0;90;00]
[ Camel yellow S;20;11;0;110;00]
[ Camel yellow extra lang;20;11;30;113;00]
[ Camel yellow M;25;14;0;112;00]
[ Camel yellow L;30;16;0;106;67]
[ Camel yellow XL;35;18;0;102;86]
[ Camel Yellow Giga;50;25;0;100;00]
[ Camel blue S;20;11;0;110;00]
[ Camel blue M;25;14;0;112;00]
[ Camel blue L;30;16;0;106;67]
[ Camel blue XL;35;18;0;102;86]
[ Camel compact;20;7;30;73;00]
[ Camel Legend yellow;20;10;50;105;00]
[ Camel Legend blue;20;10;50;105;00]
[ Chesterfield red;20;10;50;105;00]
[ Chesterfield red L;30;16;0;106;67]
[ Chesterfield red 4XL;45;23;0;102;22]
[ Corset Lilas (superslim);20;9;80;98;00]
[ Corset Pink (superslim);20;9;80;98;00]
[ Elixyr red;20;9;80;98;00]
[ Fortuna original;20;9;70;97;00]
[ Fortuna original;50;23;0;92;00]
[ Gauloises blondes blue;25;13;50;108;00]
[ Gauoises blondes blue XXL;35;18;30;104;57]
[ Gauloises blondes blue XXXL;50;25;0;100;00]
[ JPS blue;20;10;0;100;00]
[ JPS blue;30;15;0;100;00]
[ JPS red;20;10;0;100;00]
[ JPS red;25;12;50;100;00]
[ JPS red;30;15;0;100;00]
[ JPS red;40;19;0;95;00]
[ JPS red;50;23;50;94;00]
[ JPS red extra lang;20;9;90;99;00]
[ Karelia S original (superslim);20;9;50;95;00]
[ Kent White;20;9;0;90;00]
[ Kent Silver;20;11;0;110;00]
[ Kent surround brown;20;11;50;115;00]
[ Kent surround brown;27;15;0;111;11]
[ Kent surround brown;35;18;60;106;29]
[ Kent surround brown;48;25;0;104;17]
[ Kent surround long;20;11;50;115;00]
[ L&M blue;20;11;0;110;00]
[ L&M blue M;25;14;0;112;00]
[ L&M blue L;30;16;50;110;00]
[ L&M blue 4XL;45;23;50;104;44]
[ L&M original;20;11;0;110;00]
[ L&M original M;25;14;0;112;00]
[ L&M original L;30;16;50;110;00]
[ L&M original XL;35;19;0;108;57]
[ L&M original XXL;40;21;50;107;50]
[ L&M original 5XL;50;25;0;100;00]
[ Luckies Authentic red;20;10;50;105;00]
[ Luckies Authentic blue;20;10;50;105;00]
[ Luckies Authentic red;29;15;0;103;45]
[ Lucky Strike red;20;10;50;105;00]
[ Lucky Strike red;25;13;20;105;60]
[ Lucky Strike red;30;15;50;103;33]
[ Lucky Strike red;35;17;50;100;00]
[ Lucky Strike red;45;22;0;97;78]
[ Lucky Strike red soft;25;13;20;105;60]
[ Mademoiselle La Rose (superslim);20;8;30;83;00]
[ Mademoiselle La Bleue (superslim);20;8;30;83;00]
[ Mademoiselle La Bleue (superslim);40;21;0;105;00]
[ Marshal red;20;9;0;90;00]
[ Marlboro mix;20;11;50;115;00]
[ Marlboro gold S;20;11;50;115;00]
[ Marlboro gold M;25;15;0;120;00]
[ Marlboro gold L;30;17;50;116;67]
[ Marlboro gold XXL;35;20;0;114;29]
[ Marlboro gold 5XL;50;26;50;106;00]
[ Marlboro gold extra lang;20;12;0;120;00]
[ Marlboro red S;20;11;50;115;00]
[ Marlboro red M;25;15;0;120;00]
[ Marlboro red L;30;17;50;116;67]
[ Marlboro red XL;35;20;0;114;29]
[ Marlboro red XXL;40;22;50;112;50]
[ Marlboro red 5XL;50;26;50;106;00]
[ Marlboro red extra lang;20;12;0;120;00]
[ Marlboro Crafted red;20;10;50;105;00]
[ Marlbori Crafted gold;20;10;50;105;00]
[ Next original;20;10;0;100;00]
[ Next original;30;14;50;96;67]
[ Next original 5XL;45;21;0;93;33]
[ Pall Mall blue;20;10;0;100;00]
[ Pall Mall blue;30;14;70;98;00]
[ Pall Mall blue;55;25;0;90;91]
[ Pall Mall red;20;10;0;100;00]
[ Pall Mall red;30;14;70;98;00]
[ Pall Mall red;35;17;30;98;86]
[ Pall Mall red;45;21;90;97;33]
[ Pall Mall red;55;25;0;90;91]
[ Pall Mall red extra lang;20;10;30;103;00]
[ Stuyvesant red;22;10;20;92;73]
[ Vogue essentielle (superslim);20;11;0;110;00]
[ Vogue blue (superslim);20;11;0;110;00]
[ Winston blue;20;10;50;105;00]
[ Winston blue L;30;15;50;103;33]
[ Winston blue XL;35;17;50;100;00]
[ Winston blue Giga;50;23;50;94;00]
[ Winston red;20;10;50;105;00]
[ Winston red L;30;15;50;103;33]
[ Winston red XL;35;17;50;100;00]
[ Winston red giga;50;23;50;94;00]
