PRODUCT;PRICE;CURRENCY
[ACAPULCO BLUE CIG20;1790; Ft]
[ACAPULCO BLUE CIG20; ECS\xa01790; Ft]
[ACAPULCO YELLOW CIG20;1790; Ft]
[ACAPULCO YELLOW CIG20 ECS;1790; Ft]
[Austin Blue 100s 20 szál\xa0;1440; Ft]
[Austin Blue 100s 20 szál TT;1699; Ft]
[Austin Blue 20 szál;1420; Ft]
[Austin Blue 20 szál ECS; TT\xa01680; Ft]
[Austin Blue 20 szál TT;1680; Ft]
[Austin Green 20 szál ECS TT;1680; Ft]
[Austin Green 20 szál TT;1680; Ft\xa0]
[Austin Mentol 20 szál;1199; Ft]
[Austin Mentol 20 szál; TT\xa01199; Ft]
[Austin Red 100s 20 szál;1440; Ft]
[Austin Red 100s 20 szál ECS TT;1699; Ft]
[Austin Red 100s 20 szál TT;1699; Ft]
[Austin Red 20 szál;1420; Ft]
[Austin Red 20 szál ECS TT;1680; FT]
[Austin Red 20 szál TT;1680; Ft]
[Austin Silver 20 szál;1420; Ft]
[Austin Silver 20 szál ECS TT;1680; Ft]
[Austin Silver 20 szál TT;1680; Ft]
[Benson & Hedges Black;1380; Ft]
[Benson & Hedges Black;1960; Ft]
[Benson & Hedges Black ECS;1960; Ft]
[Benson & Hedges Dual Blue; Mentol\xa0999; Ft]
[Benson & Hedges Gold;1560; Ft]
[Benson & Hedges Gold;1940; Ft]
[Benson & Hedges Silver;1380; Ft]
[Benson & Hedges Silver;1960; Ft]
[Benson & Hedges Silver ECS;1960; Ft]
[Benson & Hedges White;999; Ft]
[Benson&Hedges Pink Sapphire;999; Ft]
[Bond Street royal soft\xa0 - ECS;1890; Ft]
[Camel Blue;1420; Ft]
[Camel Blue;1980; Ft]
[Camel Blue Compact ECS;1930; Ft]
[Camel Blue Compact FS;1340; Ft]
[Camel Blue Compact FS;1930; Ft]
[Camel Blue ECS;1980; Ft]
[Camel Blue LEP;999; Ft]
[Camel Blue LEP 2:;999; Ft]
[Camel Blue LEP; 3:\xa0999; Ft]
[Camel Dark Blue (AM);1720; Ft]
[Camel Dark Blue ECS;1950; Ft]
[Camel Dark Blue KS 20 TT (új);1950; Ft]
[Camel; Filters\xa01420; Ft]
[Camel Filters;1980; Ft]
[Camel Filters; LEP\xa0999; Ft]
[Camel Filters LEP; 2:\xa0999; Ft]
[Camel Filters LEP; 3:\xa0999; Ft]
[Camel Mentol;1360; Ft]
[Camel Mentol;1360; Ft]
[Camel Silver Compact; ECS:\xa01730; Ft]
[Camel Silver Compact FS;1730; Ft]
[Camel Yellow; ECS\xa01980; Ft]
[Chesterfield Blue;1890; Ft]
[Chesterfield blue - ECS;1890; Ft]
[Chesterfield Blue 100s;1130; Ft]
[Chesterfield Blue 100s - ECS;1890; Ft]
[Chesterfield Ice Burst;1280; Ft]
[Chesterfield Silver;1890; Ft]
[Chesterfield silver - ECS;1890; Ft]
[Chesterfield Silver 100s;1130; Ft]
[Chesterfield Silver 100s - ECS;1890; Ft]
[CORSET MAUVE CIG20 ECS;1800; Ft]
[CORSET PINK CIG20 ECS;1800; Ft]
[Davidoff Black Reshape 20;1790; Ft]
[Davidoff Black Reshape 20 ECS;1990; Ft]
[Davidoff Black Reshape 20; ECS\xa01990; Ft]
[Davidoff Blue 20;1850; Ft]
[Davidoff Blue 20 ECS;2050; Ft]
[Davidoff Blue 20 ECS;2050; Ft]
[Davidoff Classic; 20\xa01850; Ft]
[Davidoff Classic 20 ECS;2050; Ft]
[Davidoff Classic 20 ECS;2050; Ft]
[Davidoff Evolved Blue 20; ECS\xa01960; Ft]
[Davidoff Evolved Silver 20; ECS\xa01960; Ft]
[Davidoff Gold 20;1850; Ft]
[Davidoff Gold 20 ECS;2050; Ft]
[Davidoff Gold 20 ECS;2050; ft]
[Davidoff Gold Slims 20;1829; Ft]
[Davidoff Gold Slims 20 ECS;2029; Ft]
[Davidoff Green NON-MENTOL;1790; Ft]
