PRODUCT;PRICE;PRICE_EUR
ACAPULCO BLUE CIG20;1790 FT;4.7 €
ACAPULCO BLUE CIG20 ECS ;1790 FT;4.7 €
ACAPULCO YELLOW CIG20;1790 FT;4.7 €
ACAPULCO YELLOW CIG20 ECS;1790 FT;4.7 €
Austin Blue 100s 20 szál ;1440 FT;3.8 €
Austin Blue 100s 20 szál TT;1699 FT;4.4 €
Austin Blue 20 szál;1420 FT;3.7 €
Austin Blue 20 szál ECS TT ;1680 FT;4.4 €
Austin Blue 20 szál TT;1680 FT;4.4 €
Austin Green 20 szál ECS TT;1680 FT;4.4 €
Austin Green 20 szál TT;1680 FT;4.4 €
Austin Mentol 20 szál;1199 FT;3.1 €
Austin Mentol 20 szál TT ;1199 FT;3.1 €
Austin Red 100s 20 szál;1440 FT;3.8 €
Austin Red 100s 20 szál ECS TT;1699 FT;4.4 €
Austin Red 100s 20 szál TT;1699 FT;4.4 €
Austin Red 20 szál;1420 FT;3.7 €
Austin Red 20 szál ECS TT;1680 FT;4.4 €
Austin Red 20 szál TT;1680 FT;4.4 €
Austin Silver 20 szál;1420 FT;3.7 €
Austin Silver 20 szál ECS TT;1680 FT;4.4 €
Austin Silver 20 szál TT;1680 FT;4.4 €
Benson & Hedges Black;1380 FT;3.6 €
Benson & Hedges Black;1960 FT;5.1 €
Benson & Hedges Black ECS;1960 FT;5.1 €
Benson & Hedges Dual Blue Mentol ;999 FT;2.6 €
Benson & Hedges Gold;1560 FT;4.1 €
Benson & Hedges Gold;1940 FT;5.1 €
Benson & Hedges Silver;1380 FT;3.6 €
Benson & Hedges Silver;1960 FT;5.1 €
Benson & Hedges Silver ECS;1960 FT;5.1 €
Benson & Hedges White;999 FT;2.6 €
Benson&Hedges Pink Sapphire;999 FT;2.6 €
Bond Street royal soft  - ECS;1890 FT;4.9 €
Camel Blue;1420 FT;3.7 €
Camel Blue;1980 FT;5.2 €
Camel Blue Compact ECS;1930 FT;5.1 €
Camel Blue Compact FS;1340 FT;3.5 €
Camel Blue Compact FS;1930 FT;5.1 €
Camel Blue ECS;1980 FT;5.2 €
Camel Blue LEP;999 FT;2.6 €
Camel Blue LEP 2;999 FT;2.6 €
Camel Blue LEP 3 ;999 FT;2.6 €
Camel Dark Blue (AM);1720 FT;4.5 €
Camel Dark Blue ECS;1950 FT;5.1 €
Camel Dark Blue KS 20 TT (új);1950 FT;5.1 €
Camel Filters ;1420 FT;3.7 €
Camel Filters;1980 FT;5.2 €
Camel Filters LEP ;999 FT;2.6 €
Camel Filters LEP 2 ;999 FT;2.6 €
Camel Filters LEP 3 ;999 FT;2.6 €
Camel Mentol;1360 FT;3.6 €
Camel Silver Compact ECS ;1730 FT;4.5 €
Camel Silver Compact FS;1730 FT;4.5 €
Camel Yellow ECS ;1980 FT;5.2 €
Chesterfield Blue;1890 FT;4.9 €
Chesterfield blue - ECS;1890 FT;4.9 €
Chesterfield Blue 100s;1130 FT;3 €
Chesterfield Blue 100s - ECS;1890 FT;4.9 €
Chesterfield Ice Burst;1280 FT;3.4 €
Chesterfield Silver;1890 FT;4.9 €
Chesterfield silver - ECS;1890 FT;4.9 €
Chesterfield Silver 100s;1130 FT;3 €
Chesterfield Silver 100s - ECS;1890 FT;4.9 €
CORSET MAUVE CIG20 ECS;1800 FT;4.7 €
CORSET PINK CIG20 ECS;1800 FT;4.7 €
Davidoff Black Reshape 20;1790 FT;4.7 €
Davidoff Black Reshape 20 ECS;1990 FT;5.2 €
Davidoff Black Reshape 20 ECS ;1990 FT;5.2 €
Davidoff Blue 20;1850 FT;4.8 €
Davidoff Blue 20 ECS;2050 FT;5.4 €
Davidoff Classic 20 ;1850 FT;4.8 €
Davidoff Classic 20 ECS;2050 FT;5.4 €
Davidoff Evolved Blue 20 ECS ;1960 FT;5.1 €
Davidoff Evolved Silver 20 ECS ;1960 FT;5.1 €
Davidoff Gold 20;1850 FT;4.8 €
Davidoff Gold 20 ECS;2050 FT;5.4 €
Davidoff Gold Slims 20;1829 FT;4.8 €
Davidoff Gold Slims 20 ECS;2029 FT;5.3 €
Davidoff Green NON-MENTOL;1790 FT;4.7 €
Davidoff Green NON-MENTOL ECS ;1990 FT;5.2 €
Davidoff Polar Mentol 20;1430 FT;3.7 €
Davidoff Reach Blue 20 ECS;1920 FT;5 €
Davidoff Reach Silver 20 ECS;1920 FT;5 €
Davidoff Rose Superslims 20;1480 FT;3.9 €
Davidoff Rose Superslims 20;1820 FT;4.8 €
Davidoff Violet Superslims 20 ;1480 FT;3.9 €
Davidoff Violet Superslims 20;1820 FT;4.8 €
Davidoff White Reshape 20;1790 FT;4.7 €
Davidoff White Reshape 20 ECS;1990 FT;5.2 €
Davidoff White Slims 20;1829 FT;4.8 €
Davidoff White Slims 20 ECS;2029 FT;5.3 €
DUNHILL ARANY ECS;2000 FT;5.2 €
DUNHILL BLACK KS TT;1810 FT;4.7 €
DUNHILL DEMI ARANY ECS;1990 FT;5.2 €
DUNHILL DEMI KÉK ECS;1990 FT;5.2 €
DUNHILL FEKETE ECS;2000 FT;5.2 €
DUNHILL FINE CUT ARANY ECS;2050 FT;5.4 €
DUNHILL FINE CUT FEHÉR ECS;2050 FT;5.4 €
DUNHILL FINE CUT FEKETE ECS;2050 FT;5.4 €
DUNHILL FINE CUT SÖTÉTKÉK ECS;2050 FT;5.4 €
DUNHILL GOLD KS TT;1810 FT;4.7 €
DUNHILL MASTER BLEND;1790 FT;4.7 €
DUNHILL MASTER BLEND BLUE;1790 FT;4.7 €
DUNHILL SIGNATURE NO.4 ECS ;1990 FT;5.2 €
DUNHILL SIGNATURE NO.6 ECS;1990 FT;5.2 €
DUNHILL SWITCH BLACK;1420 FT;3.7 €
DUNHILL SWITCH BLUE SS;1260 FT;3.3 €
DUNHILL SWITCH GOLD;1420 FT;3.7 €
DUNHILL SWITCH SILVER SS;1260 FT;3.3 €
EVE Sunflower;2060 FT;5.4 €
Eve sunflower - ECS;2060 FT;5.4 €
First Gold 20 szál;1180 FT;3.1 €
First Red 20 szál;1180 FT;3.1 €
Gauloises Blue 20;1780 FT;4.7 €
Gauloises Blue 20 ECS;1980 FT;5.2 €
Gauloises Red 20;1780 FT;4.7 €
Gauloises Red 20 ECS;1980 FT;5.2 €
Gauloises Yellow 20;1780 FT;4.7 €
